Date,Price
2020-01-2,2.08
2019-12-2,2.22
2019-11-1,2.66
2019-10-1,2.33
2019-09-2,2.55
2019-08-1,2.22
2019-07-1,2.37
2019-06-3,2.4
2019-05-1,2.64
2019-04-1,2.65
2019-03-1,2.95
2019-02-1,2.69
2019-01-2,3.12
2018-12-3,4.04
2018-11-1,4.09
2018-10-1,3.28
2018-09-4,3.0
2018-08-1,2.96
2018-07-2,2.83
2018-06-1,2.97
2018-05-1,2.8
2018-04-2,2.8
2018-03-1,2.69
2018-02-1,2.67
2018-01-2,3.69
2017-12-1,2.82
2017-11-1,3.01
2017-10-2,2.88
2017-09-1,2.98
2017-08-1,2.9
2017-07-3,2.98
2017-06-1,2.98
2017-05-1,3.15
2017-04-3,3.1
2017-03-1,2.88
2017-02-1,2.85
2017-01-2,3.3
2016-12-1,3.59
2016-11-2,2.55
2016-10-3,2.98
2016-09-1,2.99
2016-08-1,2.82
2016-07-1,2.82
2016-06-1,2.59
2016-05-2,1.92
2016-04-1,1.92
2016-03-1,1.73
2016-02-1,1.99
2016-01-1,2.28
2015-12-1,1.93
2015-11-2,2.09
2015-10-1,2.34
2015-09-1,2.66
2015-08-3,2.77
2015-07-1,2.84
2015-06-1,2.78
2015-05-1,2.85
2015-04-1,2.61
2015-03-2,2.83
2015-02-2,2.87
2015-01-2,2.99
2014-12-1,3.48
2014-11-3,4.12
2014-10-3,3.75
2014-09-2,3.91
2014-08-1,3.91
2014-07-1,4.05
2014-06-2,4.59
2014-05-1,4.57
2014-04-1,4.66
2014-03-3,4.9
2014-02-3,6.0
2014-01-2,4.71
2013-12-2,4.24
2013-11-1,3.64
2013-10-1,3.68
2013-09-3,3.62
2013-08-1,3.43
2013-07-1,3.62
2013-06-3,3.83
2013-05-1,4.04
2013-04-1,4.17
2013-03-1,3.81
2013-02-1,3.33
2013-01-2,3.33
2012-12-3,3.34
2012-11-1,3.54
2012-10-1,3.32
2012-09-4,2.85
2012-08-1,2.84
2012-07-2,2.95
2012-06-1,2.46
2012-05-1,2.43
2012-04-2,1.95
2012-03-1,2.17
2012-02-1,2.5
2012-01-3,2.67
2011-12-1,3.17
2011-11-1,3.24
2011-10-3,3.57
2011-09-1,3.9
2011-08-1,4.05
2011-07-1,4.42
2011-06-1,4.54
2011-05-2,4.31
2011-04-1,4.24
2011-03-1,3.97
2011-02-1,4.09
2011-01-3,4.49
2010-12-1,4.25
2010-11-1,3.71
2010-10-1,3.43
2010-09-1,3.89
2010-08-2,4.32
2010-07-1,4.63
2010-06-1,4.8
2010-05-3,4.14
2010-04-1,4.03
2010-03-1,4.29
2010-02-1,5.32
2010-01-4,5.83
2009-12-1,5.35
2009-11-2,3.66
2009-10-1,4.01
2009-09-1,2.99
2009-08-3,3.14
2009-07-1,3.38
2009-06-1,3.8
2009-05-1,3.83
2009-04-1,3.49
2009-03-2,3.96
2009-02-2,4.51
2009-01-2,5.24
2008-12-1,5.82
2008-11-3,6.68
2008-10-1,6.74
2008-09-2,7.67
2008-08-1,8.26
2008-07-1,11.09
2008-06-2,12.69
2008-05-1,11.27
2008-04-1,10.18
2008-03-3,9.41
2008-02-1,8.54
2008-01-2,7.99
2007-12-3,7.1
2007-11-1,7.1
2007-10-1,6.74
2007-09-4,6.08
2007-08-1,6.22
2007-07-2,6.22
2007-06-1,7.35
2007-05-1,7.64
2007-04-2,7.6
2007-03-1,7.11
2007-02-1,8.0
2007-01-2,6.55
2006-12-1,6.73
2006-11-1,7.4
2006-10-2,5.85
2006-09-1,4.9
2006-08-1,7.14
2006-07-5,6.17
2006-06-1,6.21
2006-05-1,6.25
2006-04-3,7.16
2006-03-1,6.89
2006-02-1,7.54
2006-01-3,8.69
2005-12-1,13.05
2005-11-1,10.3
2005-10-7,13.42
2005-09-1,11.75
2005-08-1,9.53
2005-07-1,7.63
2005-06-1,7.18
2005-05-2,6.47
2005-04-1,7.16
2005-03-1,6.96
2005-02-1,6.14
2005-01-3,6.15
2004-12-1,6.58
2004-11-1,6.17
2004-10-1,6.35
2004-09-1,5.15
2004-08-2,5.41
2004-07-1,5.93
2004-06-1,6.27
2004-05-3,6.33
2004-04-1,5.71
2004-03-1,5.39
2004-02-2,5.37
2004-01-5,6.14
2003-12-1,6.13
2003-11-3,4.47
2003-10-1,4.63
2003-09-2,4.62
2003-08-1,4.98
2003-07-1,5.03
2003-06-2,5.82
2003-05-1,5.81
2003-04-1,5.26
2003-03-3,5.93
2003-02-3,7.71
2003-01-2,5.43
2002-12-2,4.74
2002-11-1,4.04
2002-10-1,4.13
2002-09-3,3.55
2002-08-1,3.09
2002-07-1,2.99
2002-06-3,3.26
2002-05-1,3.5
2002-04-1,3.43
2002-03-1,3.03
2002-02-1,2.32
2002-01-2,2.32
2001-12-3,2.3
2001-11-1,2.34
2001-10-1,2.46
2001-09-4,2.19
2001-08-1,2.97
2001-07-2,3.11
2001-06-1,3.72
2001-05-1,4.19
2001-04-2,5.19
2001-03-1,5.23
2001-02-1,5.61
2001-01-2,8.17
2000-12-1,8.9
2000-11-1,5.52
2000-10-2,5.02
2000-09-1,5.06
2000-08-1,4.43
2000-07-3,3.99
2000-06-1,4.29
2000-05-1,3.59
2000-04-3,3.04
2000-03-1,2.79
2000-02-1,2.66
2000-01-4,2.42
1999-12-1,2.36
1999-11-1,2.37
1999-10-1,2.73
1999-09-1,2.55
1999-08-2,2.79
1999-07-1,2.31
1999-06-1,2.3
1999-05-3,2.26
1999-04-1,2.15
1999-03-1,1.79
1999-02-1,1.77
1999-01-4,1.85
1998-12-1,1.72
1998-11-2,2.12
1998-10-1,1.91
1998-09-1,2.02
1998-08-3,1.85
1998-07-1,2.17
1998-06-1,2.17
1998-05-1,2.14
1998-04-1,2.43
1998-03-2,2.24
1998-02-2,2.23
1998-01-2,2.09
1997-12-1,2.35
1997-11-3,3.01
1997-10-1,3.07
1997-09-2,2.88
1997-08-1,2.49
1997-07-1,2.19
1997-06-2,2.2
1997-05-1,2.25
1997-04-1,2.03
1997-03-3,1.89
1997-02-3,2.15
1997-01-7,3.45
